Code,Format,Drop Date,Level,Pillar
V3B,Short 2,06/24/2027,Level 3 (Outward),Organize
V3B,Short 3,06/26/2027,Level 3 (Outward),Organize
V3C,Long,06/28/2027,Level 3 (Outward),Purpose
V3C,Short 1,06/29/2027,Level 3 (Outward),Purpose
V3C,Short 2,07/01/2027,Level 3 (Outward),Purpose
V3C,Short 3,07/03/2027,Level 3 (Outward),Purpose
V4,Long,07/05/2027,Level 4 (Lab),User Discretion
V4,Short 1,07/06/2027,Level 4 (Lab),User Discretion
V4,Short 2,07/08/2027,Level 4 (Lab),User Discretion
V4,Short 3,07/10/2027,Level 4 (Lab),User Discretion
V1B,Long,07/12/2027,Level 1 (Foundational),Move
V1B,Short 1,07/13/2027,Level 1 (Foundational),Move
V1B,Short 2,07/15/2027,Level 1 (Foundational),Move
V1B,Short 3,07/17/2027,Level 1 (Foundational),Move
V1C,Long,07/19/2027,Level 1 (Foundational),Rest
V1C,Short 1,07/20/2027,Level 1 (Foundational),Rest
V1C,Short 2,07/22/2027,Level 1 (Foundational),Rest
V1C,Short 3,07/24/2027,Level 1 (Foundational),Rest
V2C,Long,07/26/2027,Level 2 (Inward),Connect
V2C,Short 1,07/27/2027,Level 2 (Inward),Connect
V2C,Short 2,07/29/2027,Level 2 (Inward),Connect
V2C,Short 3,07/31/2027,Level 2 (Inward),Connect
V4,Long,08/02/2027,Level 4 (Lab),User Discretion
V4,Short 1,08/03/2027,Level 4 (Lab),User Discretion
V4,Short 2,08/05/2027,Level 4 (Lab),User Discretion
V4,Short 3,08/07/2027,Level 4 (Lab),User Discretion
V2A,Long,08/09/2027,Level 2 (Inward),Thinking
V2A,Short 1,08/10/2027,Level 2 (Inward),Thinking
V2A,Short 2,08/12/2027,Level 2 (Inward),Thinking
V2A,Short 3,08/14/2027,Level 2 (Inward),Thinking
V3A,Long,08/16/2027,Level 3 (Outward),Play
V3A,Short 1,08/17/2027,Level 3 (Outward),Play
V3A,Short 2,08/19/2027,Level 3 (Outward),Play
V3A,Short 3,08/21/2027,Level 3 (Outward),Play
V3B,Long,08/23/2027,Level 3 (Outward),Organize
V3B,Short 1,08/24/2027,Level 3 (Outward),Organize
V3B,Short 2,08/26/2027,Level 3 (Outward),Organize
V3B,Short 3,08/28/2027,Level 3 (Outward),Organize
V1A,Long,08/30/2027,Level 1 (Foundational),Fuel
V1A,Short 1,08/31/2027,Level 1 (Foundational),Fuel
V1A,Short 2,09/02/2027,Level 1 (Foundational),Fuel
V1A,Short 3,09/04/2027,Level 1 (Foundational),Fuel
V4,Long,09/06/2027,Level 4 (Lab),User Discretion
V4,Short 1,09/07/2027,Level 4 (Lab),User Discretion
V4,Short 2,09/09/2027,Level 4 (Lab),User Discretion
V4,Short 3,09/11/2027,Level 4 (Lab),User Discretion
V1B,Long,09/13/2027,Level 1 (Foundational),Move
V1B,Short 1,09/14/2027,Level 1 (Foundational),Move
V1B,Short 2,09/16/2027,Level 1 (Foundational),Move
V1B,Short 3,09/18/2027,Level 1 (Foundational),Move
V2B,Long,09/20/2027,Level 2 (Inward),Learning
V2B,Short 1,09/21/2027,Level 2 (Inward),Learning
V2B,Short 2,09/23/2027,Level 2 (Inward),Learning
V2B,Short 3,09/25/2027,Level 2 (Inward),Learning
